Lemma	Frequency	Animacy	Animacy.simplified
lot	239	inanimate	inanimate
way	109	inanimate	inanimate
time	104	inanimate	inanimate
one	90	inanimate	inanimate
thing	74	inanimate	inanimate
book	69	inanimate	inanimate
year	66	inanimate	inanimate
guy	62	human	animate
house	55	inanimate	inanimate
world	54	inanimate	inanimate
horse	48	non-human_animate	animate
end	45	inanimate	inanimate
day	43	inanimate	inanimate
kid	42	human	animate
air	31	inanimate	inanimate
point	31	inanimate	inanimate
rest	31	inanimate	inanimate
tape	31	inanimate	inanimate
place	29	inanimate	inanimate
week	29	inanimate	inanimate
dam	27	inanimate	inanimate
job	27	inanimate	inanimate
man	27	human	animate
bit	26	inanimate	inanimate
phone	26	inanimate	inanimate
room	25	inanimate	inanimate
name	24	inanimate	inanimate
top	24	inanimate	inanimate
door	23	inanimate	inanimate
night	23	inanimate	inanimate
right	21	inanimate	inanimate
board	20	inanimate	inanimate
month	20	inanimate	inanimate
fact	18	inanimate	inanimate
wall	18	inanimate	inanimate
word	18	inanimate	inanimate
cart	17	inanimate	inanimate
chance	17	inanimate	inanimate
love	16	inanimate	inanimate
side	16	inanimate	inanimate
back	15	inanimate	inanimate
church	15	inanimate	inanimate
fish	15	non-human_animate	animate
state	15	inanimate	inanimate
barn	14	inanimate	inanimate
hell	14	inanimate	inanimate
gift	13	inanimate	inanimate
light	13	inanimate	inanimate
foot	12	inanimate	inanimate
form	12	inanimate	inanimate
front	11	inanimate	inanimate
girl	11	human	animate
heart	11	inanimate	inanimate
shaft	11	inanimate	inanimate
ball	10	inanimate	inanimate
case	10	inanimate	inanimate
class	10	inanimate	inanimate
judge	10	human	animate
price	10	inanimate	inanimate
boy	9	human	animate
cab	9	inanimate	inanimate
cup	9	inanimate	inanimate
gate	9	inanimate	inanimate
lake	9	inanimate	inanimate
show	9	inanimate	inanimate
star	9	inanimate	inanimate
stuff	9	inanimate	inanimate
sun	9	inanimate	inanimate
test	9	inanimate	inanimate
deal	8	inanimate	inanimate
dog	8	non-human_animate	animate
fence	8	inanimate	inanimate
pain	8	inanimate	inanimate
sign	8	inanimate	inanimate
war	8	inanimate	inanimate
bag	7	inanimate	inanimate
bite	7	inanimate	inanimate
bowl	7	inanimate	inanimate
chair	7	inanimate	inanimate
group	7	animate	animate
kind	7	inanimate	inanimate
line	7	inanimate	inanimate
card	6	inanimate	inanimate
friend	6	human	animate
heat	6	inanimate	inanimate
jerk	6	animate	animate
salt	6	inanimate	inanimate
shoe	6	inanimate	inanimate
bean	5	inanimate	inanimate
call	5	inanimate	inanimate
choice	5	inanimate	inanimate
cost	5	inanimate	inanimate
egg	5	inanimate	inanimate
knee	5	inanimate	inanimate
plane	5	inanimate	inanimate
roof	5	inanimate	inanimate
screen	5	inanimate	inanimate
spell	5	inanimate	inanimate
verb	5	inanimate	inanimate
bone	4	inanimate	inanimate
bread	4	inanimate	inanimate
fit	4	inanimate	inanimate
grass	4	inanimate	inanimate
gym	4	inanimate	inanimate
king	4	human	animate
race	4	inanimate	inanimate
scene	4	inanimate	inanimate
trail	4	inanimate	inanimate
bend	3	inanimate	inanimate
clock	3	inanimate	inanimate
hymn	3	inanimate	inanimate
key	3	inanimate	inanimate
life	3	inanimate	inanimate
mile	3	inanimate	inanimate
saw	3	inanimate	inanimate
song	3	inanimate	inanimate
sub	3	inanimate	inanimate
thought	3	inanimate	inanimate
glass	2	inanimate	inanimate
ice	2	inanimate	inanimate
loss	2	inanimate	inanimate
male	1	ambiguous_animate	animate
need	1	inanimate	inanimate
shit	1	inanimate	inanimate
