Lemma	BNC_Freq	Hh	Hm	Ht	Hrh	Hrm	Hrt	Hlh	Hlm	Hlt	Hh_Lex	Hm_Lex	Ht_Lex	Hrh_Lex	Hrm_Lex	Hrt_Lex	Hlh_Lex	Hlm_Lex	Hlt_Lex	Hh_Cond	Hm_Cond	Ht_Cond	Hrh_Cond	Hrm_Cond	Hrt_Cond	Hlh_Cond	Hlm_Cond	Hlt_Cond	Hi	Freq	JSD_Hh_Dep	JSD_Hm_Dep	JSD_Ht_Dep	JSD_Hrh_Dep	JSD_Hrm_Dep	JSD_Hrt_Dep	JSD_Hlh_Dep	JSD_Hlm_Dep	JSD_Hlt_Dep	JSD_Hi	Dom_Pos	Contextual_H	coltheart.N	OLD20	nletters	nsyl	morphology	flection	synclass	celex.frequency	celex.frequency.lemma	celex.inflectional.entropy	lemma.size	nlemmas	bnc.frequency	bnc.frequency.million	subtlex.frequency	subtlex.frequency.million	subtlex.cd	subtlex.cd.pct	summed.monogram	summed.bigram	summed.trigram	UnTrn	StTrn	NSyll	NPhon	unsDENS	unsFDEN	unsLDEN	unsCDEN	strDENS	strFDEN	strLDEN	strCDEN	unsBPAV	unsFBPAV	unsLBPAV	unsCBPAV	strBPAV	strFBPAV	strLBPAV	strCBPAV	unsTPAV	unsFTPAV	unsLTPAV	unsCTPAV	strTPAV	strFTPAV	strLTPAV	strCTPAV	unsPOSPAV	unsFPOSPAV	unsLPOSPAV	unsCPOSPAV	strPOSPAV	strFPOSPAV	strLPOSPAV	strCPOSPAV	unsLCPOSPAV	unsFLCPOSPAV	unsLLCPOSPAV	unsCLCPOSPAV	strLCPOSPAV	strFLCPOSPAV	strLLCPOSPAV	strCLCPOSPAV	SFreq	SCDcnt	Animacy	Animacy.simplified	logFreq
ache	1615	2.34699141428362	1.96077450674262	2.70615220202602	1.77075361407235	1.47672060346387	2.15366332596093	1.75302185315434	1.46782647216266	2.29194292044122	4.46793629229617	4.52652468731653	4.92448903419121	3.49172463716102	3.3996989191017	3.81596461022921	4.16484539985203	4.42882427686149	4.87538552486974	0.111058547046142	0.401379939028346	0.32533985420953	0.0418865065869145	0.256448610663159	0.188767919774608	0.0890380268104307	0.211332241235159	0.169726414550292	0.646889638281745	1615	0.0396705769343677	0.0683217061416764	0.0385117094694404	0.0566041584817506	0.137810612827567	0.098318285121039	0.0250428902324393	0.0427771147477211	0.0300910604587068	0.0039164575047419	Noun	284.789916996	3	1.65	4	1	conversion.monomorphemic	infinitive.plural present.singular.singular 2p present.singular present 1p	Noun.Verb	86	304	-396.590776701	46	2	409	4.09	125	2.451	111	0.0132	554205	23877	1829	EY.K	EY1.K	1	2	36	24401.76	42.63	44703	36	24401.76	42.63	44703	0.00102128	0.002217	0.0014115	0.00219342	0.00064623	0.00206377	0.00116989	0.00210724	0	0	0	0	0	0	0	0	0.0163373	0.01420165	0.01437357	0.01106047	0.01606076	0.01346515	0.01417638	0.01088945	0.03145696	0.00042199	0.01541789	0.00645484	0.03058293	0.0003714	0.01492764	0.00611694	2.49	113	NA	NA	0.912282710476616
act	26157	2.16604494668749	1.82941884716274	2.60126800403674	1.62851735247347	1.2408826350088	2.07221724456533	1.55961983771999	1.30537725568072	2.11110919647259	5.02711907818557	4.66145035460453	5.25052396438103	3.8417607613396	4.83689981305745	4.40382390660981	4.83481969900127	4.24019694871095	5.20765121147658	0.165111484421687	0.445588164260803	0.516339561520755	0.15328649152544	0.265887787133239	0.386898328895916	0.088333495354652	0.145729077858688	0.171952479233815	0.608101538187107	26157	0.00895084410406222	0.0334337970249522	0.0154632410734938	0.0133041540739386	0.0800997400813316	0.0414570328186551	0.0072733681594104	0.0139156301239657	0.0102608518087929	0.000516475472056997	Verb	279.852036689	5	1.5	3	1	conversion.monomorphemic	infinitive.plural present.singular.singular 2p present.singular present 1p	Noun.Verb	3354	4973	-34092.7001101	46	2	27467	274.67	5100	100	2923	0.3485	502761	16381	1039	AE.K.T	AE1.K.T	1	3	26	3766.34	22.9	22391	26	3766.34	22.9	22391	0.00371881	0.00216491	0.00380031	0.00363368	0.00333455	0.00199226	0.00355355	0.0035057	0.00047662	0.00032298	0.00054821	0.00060804	0.00037927	0.00027948	0.00047084	0.00054719	0.03837257	0.05365547	0.03685381	0.03820598	0.03512056	0.05283591	0.03480073	0.03704559	0.03536842	0.08322481	0.04224497	0.04882785	0.0351481	0.08304691	0.04217647	0.0487725	109.12	3086	NA	NA	4.69244819409515
ad	6541	2.43292284598109	1.99152331633883	2.67531922432525	2.14751217904413	1.38686093323939	2.41179422489552	1.91535385340244	1.25742948416046	2.31540489506599	5.65416726395849	5.51295693266485	6.0580889751132	5.51912117283616	5.50549479081125	6.01678214977443	4.9901226200615	4.51114026244129	5.38187367678794	0.229687795712525	0.378137591055839	0.488966810222943	0.173602533512514	0.26037676178766	0.405688932845235	0.156050060061208	0.136477849798887	0.229152879892638	0.495091397653137	6541	0.0557928283335043	0.0560148665118348	0.0516356637988236	0.109411818710189	0.0785636679756762	0.100552115597898	0.041228730693628	0.0201602888334637	0.0321037865375053	0.00361050632939371	Noun	289.247113239	9	1	2	1	complex.irrelevant	headword.singular	Noun.Undefined	925	988	-8636.29064338	3	2	2005	20.05	630	12.3529	391	0.0466	448372	15001	582	AE.D	AE1.D	1	2	36	25264.08	53.06	74945	36	25264.08	53.06	74945	0.00110198	0.00168143	0.00137783	0.00165841	0.00080779	0.00152315	0.00108168	0.00148116	0	0	0	0	0	0	0	0	0.01617009	0.01361156	0.0138921	0.01171494	0.01134189	0.01257351	0.0109252	0.01009667	0.03311259	0.01173942	0.02991808	0.02926054	0.03219583	0.01032464	0.02900061	0.02774741	13.61	432	NA	NA	2.61080481666337
add	618	2.54699706914264	2.39566829612713	2.90552057954794	1.95758126029559	1.40684327574451	2.40790903924215	2.31162702091771	2.21387177231404	2.8530354891039	4.36453598301977	3.85196294008044	4.56983053219016	4.00465346600045	3.24616480896524	4.13453603125195	4.04871335966744	3.68029025334951	4.38915387902928	0.475311745297303	0.601465807516703	0.66755675982144	0.297413341279921	0.0937600103073861	0.433284669625567	0.269588655228881	0.882146493718568	0.661593342290295	0.0628416437769749	618	0.270155646148101	0.232607494177011	0.131004158689792	0.224114633409083	0.251014399715728	0.209746324215988	0.277234590622916	0.176642353305664	0.226604931685188	0.0826082153492034	Verb	279.754268311	7	1.55	3	1	monomorphemic	infinitive.plural present.singular 2p present.singular present 1p	Verb	1508	4190	-12906.1248936	44	1	8238	82.38	1423	27.902	1173	0.1398	479655	15660	584	AE.D	AE1.D	1	2	36	25264.08	53.06	74945	36	25264.08	53.06	74945	0.00110198	0.00168143	0.00137783	0.00165841	0.00080779	0.00152315	0.00108168	0.00148116	0	0	0	0	0	0	0	0	0.01617009	0.01361156	0.0138921	0.01171494	0.01134189	0.01257351	0.0109252	0.01009667	0.03311259	0.01173942	0.02991808	0.02926054	0.03219583	0.01032464	0.02900061	0.02774741	33.06	1329	NA	NA	3.49832409239288
age	57502	2.11770886581571	1.49861684480932	2.43780584922313	1.72508157301916	1.38921636398996	2.22569472457127	1.38933746194592	0.852103433740079	1.82904052453596	4.43019762447951	4.2439436562207	4.76209426191927	3.82425220514939	4.47651334758811	4.4796113855465	3.83532360655247	3.63369256579853	4.38432428607315	0.121415541483213	0.240265818333435	0.405048478465335	0.127828464263415	0.244214633688037	0.316702878136016	0.055867781004685	0.0807563705400405	0.114860576547061	0.353154438960071	57502	0.012535213420958	0.0441440474774366	0.019090210747962	0.026382331087433	0.0586313738711747	0.0384796219583785	0.0152002246113637	0.0358846751862092	0.0250164296193725	0.0198533888098092	Noun	279.534907837	9	1.05	3	1	conversion.monomorphemic	infinitive.plural present.singular.singular 2p present.singular present 1p	Noun.Verb	4437	5357	-53755.8836744	46	2	21857	218.57	3772	73.9608	2388	0.2847	529394	17155	1311	EY.JH	EY1.JH	1	2	23	20766.7	27.85	19132	23	20766.7	27.85	19132	0.00036319	0.00024838	0.00050593	0.00045615	0.00033604	0.00022774	0.00047206	0.0004366	0	0	0	0	0	0	0	0	0.00277903	0.01093312	0.00303399	0.0029747	0.00254072	0.01037851	0.0028976	0.00289217	0.02483444	0.00053078	0.01671597	0.0086553	0.02413132	0.0004713	0.01619372	0.00822487	79.2	2499	NA	NA	4.37197629882038
aid	20941	2.07611089154875	1.7125415672858	2.4324391746313	1.48712758891284	1.19495857250429	2.03071147160038	1.49261656623766	1.06430115832704	1.98834539137437	5.10806203232197	4.94072726547682	5.4179246534528	3.87434080649365	5.39783455813502	4.95820754581791	4.90215677254903	4.10952942052068	5.17684112314299	0.17865451990056	0.30009826253594	0.486756297721236	0.128524852234817	0.182197546377866	0.298423462858302	0.116508485670952	0.0821124963140019	0.17120998970527	0.38108105779723	20941	0.0383467549222252	0.0280060269275101	0.0312254243831096	0.0283414126331667	0.0673034027795329	0.0387599913391522	0.0454358470888513	0.0123148206863211	0.0312492879306127	0.0158770405491549	Noun	283.995375141	12	1	3	1	conversion.monomorphemic	infinitive.plural present.singular.singular 2p present.singular present 1p	Noun.Verb	1019	1248	-9833.27219425	46	2	8607	86.07	613	12.0196	448	0.0534	513015	16765	501	EY.D	EY1.D	1	2	35	21634.85	42.81	34346	35	21634.85	42.81	34346	0.00113303	0.00078677	0.00120697	0.00122477	0.00099196	0.00073291	0.00112487	0.00120419	0	0	0	0	0	0	0	0	0.00594585	0.01143893	0.00566492	0.00468501	0.00569862	0.01085617	0.00551442	0.00458377	0.03311259	0.00060443	0.02157742	0.00912327	0.03219583	0.00053893	0.02093529	0.00867316	13.9	496	NA	NA	2.63188884013665
aide	1401	2.25369469565395	1.91404061095407	2.60961853732404	1.86765511023786	1.07280671678291	2.18171029222315	1.54775253680744	1.40641699863744	2.11330782070752	4.78054213078773	5.0064536009713	5.36259557079574	4.23130949872762	4.5626850865252	4.97273277799942	4.26099628904267	4.39896030248316	4.87386121011864	0.115590026016348	0.22002708508201	0.28950821403864	0	0.0988967818513888	0.14678632505419	0.0854126142875451	0.0242179538908154	0.101797165001233	0.656848431865356	1401	0.0318306939507421	0.0588924013857	0.0387932250054111	0.0394787778186801	0.0483138208332997	0.0428509037030879	0.0388587293445031	0.0465633941031819	0.0460730667538549	0.00565349487653472	Noun	279.033170511	8	1.35	4	1	monomorphemic	singular	Noun	100	176	-664.465684548	2	1	277	2.77	87	1.7059	70	0.0083	600387	22165	1442	EY.D	EY1.D	1	2	35	21634.85	42.81	34346	35	21634.85	42.81	34346	0.00113303	0.00078677	0.00120697	0.00122477	0.00099196	0.00073291	0.00112487	0.00120419	0	0	0	0	0	0	0	0	0.00594585	0.01143893	0.00566492	0.00468501	0.00569862	0.01085617	0.00551442	0.00458377	0.03311259	0.00060443	0.02157742	0.00912327	0.03219583	0.00053893	0.02093529	0.00867316	2.02	81	NA	NA	0.703097511413113
aim	21591	2.02230141298395	1.50399801851497	2.43717467494588	1.43031834844115	0.436124161954936	1.69121148687119	1.38180332959468	1.26477385400044	1.92803698001942	3.87805385806361	2.77951802067554	3.98318420825986	2.95393301178343	1.1239267971437	2.78274361518418	3.45979173216641	3.71340612267494	4.07738330164079	0.11219055947626	0.356221318143454	0.348660784727019	0.115272586672461	0.0551672807036647	0.179208158972342	0.060041349107621	0.127072288956977	0.115598574705562	0.644678266598913	21591	0.0400973157412628	0.120206438304177	0.0623502669042331	0.0385318911293557	0.211049353443274	0.107115695663794	0.0435328071415375	0.0242277139103478	0.0454516194493646	0.00356258621715162	Verb	279.153070086	10	1.35	3	1	conversion.monomorphemic	infinitive.plural present.singular.singular 2p present.singular present 1p	Noun.Verb	735	1598	-6286.50786198	46	2	6448	64.48	576	11.2941	437	0.0521	501039	9366	280	EY.M	EY1.M	1	2	32	34410.88	55.13	75644	32	34410.88	55.13	75644	0.00053392	0.00100998	0.00079361	0.00131926	0.00050729	0.00094893	0.00076804	0.00131249	0	0	0	0	0	0	0	0	0.01058472	0.01724762	0.00908657	0.00826378	0.0103244	0.01634162	0.00891773	0.00812336	0.03145696	0.01365988	0.02876355	0.02694469	0.03058293	0.01252739	0.02794421	0.0257452	14.86	546	NA	NA	2.69867303928961
air	34792	1.85454361095542	1.70525193646405	2.35551192089751	1.78824013771537	1.04228800820502	1.95038188711539	1.18772327270751	1.00867398937243	1.79116944953173	4.1140882247524	5.17708908187496	5.11586575472197	4.59509397746785	5.60512720752141	5.7128065434608	3.27026266566065	3.85681909339782	4.14693476059163	0.1118907245776	0.295081574442651	0.391440254457474	0.166212362879381	0.221034464107393	0.36081582561291	0.0313872720336548	0.0636754572788161	0.0996009815600036	0.0568173888442974	34792	0.0369433244034545	0.0552071455491614	0.0308331398061733	0.0144555233744038	0.110151866964884	0.0859636324230624	0.0451881108531254	0.016702197429154	0.0329250495425427	0.0842127226755566	Noun	284.81651974	6	1.35	3	1	conversion.monomorphemic	infinitive.plural present.singular.singular 2p present.singular present 1p	Noun.Verb	4496	4527	-54556.372967	46	2	19076	190.76	6023	118.098	3132	0.3734	537146	13727	642	EH.R	EH1.R	1	2	43	47014.22	91	121291	43	47014.22	91	121291	0.00456315	0.00590078	0.00565883	0.00588736	0.00334101	0.00527444	0.00466418	0.00510333	0	0	0	0	0	0	0	0	0.05501472	0.0373708	0.05183341	0.04648414	0.04956422	0.03505391	0.04877112	0.04448546	0.03642385	0.04956495	0.04796121	0.04942291	0.03541126	0.04394529	0.04653117	0.04706475	139.02	3325	inanimate	inanimate	4.93461780767234
ale	1369	2.20682236721216	1.85840712230331	2.53723950571535	1.88537724159028	1.17853664511073	2.25187419603339	1.52346277624259	1.22855239697966	2.07776516721133	4.90778518738154	4.34819156737188	5.10409348107451	4.43803838632909	4.20069201126273	4.74378630271018	4.30597398639118	3.69060005088273	4.64455850340486	0.141250632735323	0.283051322816337	0.367784956369298	0.143101711038821	0.16959959100274	0.424509676101642	0.0653129052879313	0.0931744569226263	0.144373577822544	0.458871192868917	1369	0.0794738789425478	0.0346231268750226	0.056369585015847	0.133337856809632	0.0846660291543838	0.108453148234831	0.053300188252284	0.0162192292274817	0.0376344881885713	0.00674176802478957	Noun	280.329472799	11	1	3	1	monomorphemic	singular	Noun	56	63	-325.339073458	2	1	663	6.63	183	3.5882	115	0.0137	544489	26276	2134	EY.L	EY1.L	1	2	42	26659.19	65.06	42511	42	26659.19	65.06	42511	0.00115786	0.00039186	0.00128559	0.00085769	0.0009435	0.00033793	0.00115245	0.00078122	0	0	0	0	0	0	0	0	0.02465627	0.01942061	0.02374367	0.02008017	0.02435627	0.01839369	0.02349624	0.01981043	0.03807947	0.00665363	0.03024829	0.01577511	0.03703454	0.00609375	0.02939233	0.01504529	3.96	123	NA	NA	1.37624402526639
