Det Noun Lemma UniFreq BigFreq BigSurp File Turn Start Stop LengthSeconds LengthOrth IU Speaker IUPos IU_len_words relative_IUPos IU_len_secs speech_rate unique_chunk_number POS newIUPos
a computer computer 39884 8349 1.56383346975 SBC058.trn 225 819.095 819.585 0.49 8 80008 SHERI 5 7 0.7142857142857142 1.73000000000002 4.046242774566431 71250 NOUN 4.0
a cat cat 11340 2575 1.48248676418 SBC011.trn 183 482.41 482.58 0.17 3 13312 DORIS 28 28 1.0 1.25 22.4 11844 NOUN 5.0
every night night 156928 5229 3.40156704623 SBC009.trn 284 1475.2 1475.59 0.39 5 11834 KATHY 6 7 0.857142857142857 1.19999999999982 5.8333333333342186 10464 NOUN 5.0
a vine vine 915 160 1.74375025004 SBC054.trn 79 743.502 744.242 0.74 4 74868 CYNTHIA 4 4 1.0 1.37 2.91970802919707 66453 NOUN 3.0
some reason reason 74288 3889 2.9497973761 SBC031.trn 420 653.0 653.34 0.34 6 43951 ROSEMARY 3 8 0.375 1.05089999999996 7.61252259967679 38056 NOUN 2.0
that today today 119541 2058 4.06192477135 SBC051.trn 703 1283.651 1283.971 0.32 5 71727 ALICE 5 5 1.0 0.880000000000109 5.68181818181748 63506 NOUN 4.0
the goat goat 2164 592 1.29620700508 SBC040.trn 26 1140.379 1140.6989999999996 0.32 4 57799 DEBRA 10 12 0.833333333333333 5.08000000000015 2.36220472440938 50645 NOUN 5.0
the levels level 36127 1425 3.2328686945 SBC041.trn 261 952.005 952.455 0.45 6 58678 PAIGE 5 5 1.0 1.33000000000004 3.75939849624049 51438 NOUN 4.0
an album album 10023 965 2.34050962969 SBC052.trn 434 1039.942 1040.342 0.4 5 73088 CINDY 2 2 1.0 0.509999999999991 3.9215686274510495 64758 NOUN 1.0
a cart cart 3809 636 1.78992340314 SBC045.trn 326 1599.736 1600.106 0.37 4 63569 CORINNA 5 9 0.555555555555556 2.17399999999998 4.13983440662378 56013 NOUN 4.0
a break break 61919 9882 1.83511215886 SBC021.trn 358 1596.437 1596.667 0.23 5 31032 WALT 7 7 1.0 0.804000000000087 8.7064676616906 25961 NOUN 6.0
a half half 83785 19458 1.4599956973 SBC044.trn 316 1583.545 1583.705 0.16 4 62412 LAJUAN 13 15 0.866666666666667 1.76900000000001 8.47936687394005 54944 NOUN 7.0
the tail tail 6212 2151 1.060550055 SBC039.trn 435 1245.663 1245.753 0.09 4 56993 KIRSTEN 3 5 0.6 0.7770000000000441 6.43500643500607 49868 NOUN 2.0
the w w 14403 149 4.57124549125 SBC023.trn 306 556.725 556.935 0.21 1 32356 DIANE 2 3 0.666666666666667 1.17499999999995 2.5531914893617995 27187 NOUN 1.0
a cover cover 32736 1330 3.20329644754 SBC049.trn 570 903.64 903.9 0.26 5 67837 DAN 5 7 0.7142857142857142 0.951000000000022 7.36067297581476 59933 NOUN 4.0
the girl girl 55497 14913 1.31409564946 SBC058.trn 72 222.878 222.998 0.12 4 78690 STEVEN 3 4 0.75 0.669999999999987 5.97014925373145 70027 NOUN 2.0
the store store 33174 8643 1.34501669181 SBC042.trn 222 641.555 641.675 0.12 5 59312 SABRINA 6 10 0.6 1.83000000000004 5.46448087431682 52027 NOUN 5.0
the water water 140870 36925 1.33894865085 SBC003.trn 550 1025.82 1026.1 0.28 5 3728 PETE 21 24 0.875 3.3400000000000296 7.1856287425149 2924 NOUN 3.0
the spirit spirit 21207 8811 0.878330374972 SBC020.trn 18 603.12 603.77 0.65 6 28550 JEFF 8 14 0.5714285714285711 5.12 2.734375 23592 NOUN 3.0
that jacket jacket 9988 66 5.01948490937 SBC042.trn 269 812.6619999999998 812.942 0.28 6 59407 KITTY 6 6 1.0 1.25810000000001 4.76909625625939 52117 NOUN 5.0
the difference difference 45443 15913 1.04932240813 SBC027.trn 100 953.37 953.71 0.34 10 37448 PHIL 6 6 1.0 1.07000000000005 5.60747663551376 32009 NOUN 5.0
these spaces space 4292 117 3.60233416895 SBC050.trn 289 709.571 710.0210000000002 0.45 6 69959 DANA 2 2 1.0 0.639999999999986 3.1250000000000697 61878 NOUN 1.0
the ghost ghost 4505 1896 0.865441487227 SBC058.trn 105 305.939 306.339 0.4 5 78756 STEVEN 28 29 0.96551724137931 5.5350000000000295 5.23938572719058 70087 NOUN 14.0
some people people 600923 19749 3.41536394937 SBC049.trn 493 810.7 810.95 0.25 6 67720 LUCY 2 5 0.4 1.2100000000000402 4.1322314049585485 59827 NOUN 1.0
the lord lord 3564 1534 0.843004806663 SBC025.trn 4 1280.692 1281.142 0.45 4 34901 FOSTER 7 7 1.0 2.27199999999993 3.080985915493049 29553 NOUN 6.0
the guy guy 64600 14573 1.48904390924 SBC030.trn 38 1039.345 1039.595 0.25 3 42295 DANNY 4 7 0.5714285714285711 1.42999999999984 4.89510489510546 36524 NOUN 3.0
this picture picture 39230 1744 3.11326043473 SBC038.trn 2 166.62 166.95 0.33 7 53354 BEN 6 9 0.666666666666667 1.93199999999999 4.65838509316773 46509 NOUN 5.0
